train,val
TCGA-CQ-A4CI,TCGA-BA-6869
TCGA-UF-A7JT,TCGA-CV-6954
TCGA-CQ-A4C6,TCGA-CV-6955
TCGA-CV-7427,TCGA-CV-6934
TCGA-BB-A5HY,TCGA-HD-A4C1
TCGA-CV-A6JY,TCGA-CV-7242
TCGA-D6-6827,TCGA-CX-7082
TCGA-DQ-7591,TCGA-CV-7235
TCGA-CV-A6JT,TCGA-UF-A71E
TCGA-DQ-5625,TCGA-HD-8634
TCGA-CV-5439,TCGA-CV-7429
TCGA-CN-A642,TCGA-UF-A7JO
TCGA-CQ-5329,TCGA-BA-5152
TCGA-BB-4224,TCGA-T3-A92M
TCGA-CN-4742,TCGA-MT-A51W
TCGA-CN-4730,TCGA-CV-7104
TCGA-CV-6948,TCGA-CV-7425
TCGA-CN-6992,TCGA-CV-7416
TCGA-IQ-A6SH,TCGA-CV-5441
TCGA-D6-8568,TCGA-CV-5970
TCGA-CQ-7065,TCGA-F7-A620
TCGA-CV-5442,TCGA-QK-A8Z9
TCGA-CN-6023,TCGA-BA-5557
TCGA-CV-7090,TCGA-CQ-A4C7
TCGA-CQ-6228,TCGA-BA-5558
TCGA-CV-A45X,TCGA-QK-A6VC
TCGA-CQ-5326,TCGA-CN-4734
TCGA-CQ-6229,TCGA-D6-A6EO
TCGA-CN-5373,TCGA-CN-4727
TCGA-UF-A7JF,TCGA-P3-A6T6
TCGA-CV-5430,TCGA-BA-4077
TCGA-QK-A6IH,TCGA-P3-A6SW
TCGA-MT-A7BN,TCGA-CV-7252
TCGA-KU-A6H8,TCGA-CN-A63U
TCGA-CV-5971,TCGA-CV-7238
TCGA-DQ-7589,TCGA-TN-A7HL
TCGA-CN-6994,TCGA-CV-A6K2
TCGA-CN-6998,TCGA-CQ-7072
TCGA-CX-7086,TCGA-CN-6989
TCGA-DQ-7588,TCGA-UF-A71A
TCGA-BB-7872,TCGA-P3-A6T0
TCGA-CV-7423,TCGA-MT-A67A
TCGA-IQ-A61O,TCGA-HD-8314
TCGA-CN-4737,TCGA-CN-A63Y
TCGA-CQ-7064,TCGA-CV-6940
