train,val
TCGA-VD-A8KG,TCGA-YZ-A980
TCGA-YZ-A984,TCGA-V4-A9EH
TCGA-VD-AA8R,TCGA-V4-A9F3
TCGA-WC-A881,TCGA-VD-A8K9
TCGA-V4-A9ED,TCGA-VD-A8KD
TCGA-V4-A9F5,TCGA-YZ-A982
TCGA-V4-A9EM,TCGA-WC-A884
TCGA-WC-A87Y,TCGA-VD-AA8P
TCGA-VD-AA8T,TCGA-V4-A9F4
TCGA-VD-A8KF,
TCGA-VD-A8KB,
TCGA-VD-A8KJ,
TCGA-VD-A8KE,
TCGA-WC-A888,
TCGA-RZ-AB0B,
TCGA-VD-AA8S,
TCGA-VD-AA8M,
TCGA-VD-AA8N,
TCGA-WC-A885,
TCGA-WC-A882,
TCGA-V4-A9EY,
TCGA-V4-A9EV,
TCGA-VD-A8KO,
TCGA-V4-A9F7,
TCGA-WC-A87W,
TCGA-VD-A8KM,
TCGA-VD-A8K8,
TCGA-WC-A87T,
TCGA-VD-A8KA,
TCGA-V4-A9EO,
TCGA-WC-A87U,
TCGA-V4-A9EE,
TCGA-V4-A9ES,
TCGA-YZ-A985,
TCGA-VD-A8K7,
TCGA-WC-A880,
TCGA-V4-A9F8,
